DESCRIÇÃO;LANÇAMENTO;VENCIMENTO;EFETIVAÇÃO;CATEGORIA;SUBCATEGORIA;CARTÃO;CONTA;VALOR;OBSERVAÇÕES
Trimais I almoco;14/03/2026 15:09;10/04/2026;;Alimentação;Almoço;Santander Elite;Itaú;44.86;"Compra no cartão final 6174, de R$ 44,86, em 14/03/26, às 15:09, em TRIMAIS I, aprovada.
#TrimaisI"
Grileto;18/03/2026 23:28;10/04/2026;;Alimentação;Almoço;Santander Elite;Itaú;22.9;
Trimais I mistura mar pagou ja;14/03/2026 15:39;10/04/2026;;Alimentação;Supermercado;Santander Elite;Itaú;359.68;"Compra no cartão final 6174, de R$ 359,68, em 14/03/26, às 15:39, em TRIMAIS I, aprovada.
#TrimaisI"
Cassio Andre Pe;08/03/2026 12:54;10/04/2026;;Alimentação;Feira;Santander Elite;Itaú;20.0;"Compra no cartão final 6174, de R$ 20,00, em 08/03/26, às 12:50, em CASSIO ANDRE PE, aprovada.
#CassioAndrePe"
53788606camilla;10/03/2026 13:04;10/04/2026;;Alimentação;Lanche;Santander Elite;Itaú;5.89;"Compra no cartão final 9471, de R$ 5,89, em 10/03/26, às 13:01, em 53788606Camilla, aprovada.
#53788606camilla"
Academia bernardo;18/03/2026 22:07;10/04/2026;;Família;Filhos;Santander Elite;Itaú;259.0;
Agua centro carro quebrado;05/03/2026 15:31;10/04/2026;;Alimentação;Lanche;Santander Elite;Itaú;15.29;
Almoço grileto;05/03/2026 15:30;10/04/2026;;Alimentação;Almoço;Santander Elite;Itaú;23.4;
Batateira;18/03/2026 23:26;10/04/2026;;Alimentação;Supermercado;Santander Elite;Itaú;44.0;
Cobasi  1/2;16/03/2026 13:01;10/04/2026;;Família;Anim. estimação;Santander Elite;Itaú;111.35;"Compra no cartão final 6174, de R$ 222,70, em 16/03/26, às 12:56, em COBASI, aprovada.
#Cobasi"
Claro;25/11/2024 09:38;11/04/2026;;Moradia;Internet;;Itaú;363.13;
Empréstimo Itaú  2/12;21/03/2026 19:16;01/05/2026;;Empréstimo Itaú;Parcelado;;Itaú;551.5;
Seguro cartão;04/07/2025 08:34;04/05/2026;;Assinaturas & Serviços;Recorrente Debito;;Itaú;16.79;
Microondas magalu  5/6;23/12/2025 09:03;05/05/2026;;Parcelamentos;Cartão Mãe;;Itaú;133.33;
Mensalidade pós  1/20;01/12/2025 18:13;05/05/2026;;Despesas Variáveis (pessoal);Educação;;Itaú;500.0;
Luz energia;02/02/2025 15:23;05/05/2026;;Moradia;Conta De Luz;;Itaú;200.0;
Aluguel;25/11/2024 09:15;05/05/2026;;Moradia;Aluguel;;Itaú;1600.0;
Agua;02/02/2025 15:23;05/05/2026;;Moradia;Conta De Água;;Itaú;100.0;
Ventilador mãe presente  3/10;16/02/2026 02:48;05/05/2026;;Parcelamentos;Cartão Mãe;;Itaú;175.0;
Shopee raissa salão  4/6;07/01/2026 12:27;05/05/2026;;Parcelamentos;Cartão Mãe;;Itaú;132.26;
Rtx 5060ti 16GB  7/12;20/10/2025 07:59;05/05/2026;;Parcelamentos;Cartão Mãe;;Itaú;298.5;
Parcela i30  10/34;12/05/2025 12:03;05/05/2026;;Transporte;I30;;Itaú;1200.0;
Conserto i30  5/5;01/12/2025 18:14;05/05/2026;;Parcelamentos;Cartão Mãe;;Itaú;400.0;
Óculos 👓 Raissa  7/10;13/10/2025 10:12;05/05/2026;;Parcelamentos;Cartão Mãe;;Itaú;129.9;
Dr consulta  8/9;06/10/2025 22:46;06/05/2026;;Parcelamentos;Cartão Mãe;;Itaú;41.85;
Google My Finan;21/03/2026 20:10;10/05/2026;;Assinaturas & Serviços;Minhas Finanças;Santander Elite;Itaú;13.9;
Claude code;18/03/2026 22:28;10/05/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;117.51;
Academia bernardo;18/03/2026 22:07;10/05/2026;;Família;Filhos;Santander Elite;Itaú;259.0;
Vita Animalia  2/10;16/03/2026 10:32;10/05/2026;;Família;Anim. estimação;Santander Elite;Itaú;200.87;"Compra no cartão final 6174, de R$ 2.008,16, em 16/03/26, às 10:27, em VITA ANIMALIA, aprovada.
#VitaAnimalia"
Remédios Thor - Medicação  3/3;20/02/2026 12:53;10/05/2026;;Família;Anim. estimação;Santander Elite;Itaú;160.16;
